GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1292362700,20260304,202603,2026,2026.1753,PGSGOV,PERSIAN GULF,PGS,,,,,GOV,,,IRN,TEHRAN,IRN,,,,,,,,0,10,10,1,1,0.0,8,1,8,-4.28571428571429,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260304154500,https://www.islamicinvitationturkey.com/araghchi-accuses-trump-of-diplomacy-breach-and-u-s-betrayal-with-iran-assault/
1292362703,20260304,202603,2026,2026.1753,PSE,OCCUPIED TERRITORIES,PSE,,,,,,,,,,,,,,,,,,1,190,190,19,4,-10.0,4,1,4,-9.70149253731346,1,Israel,IS,IS,,31.5,34.75,IS,0,,,,,,,,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://www.islamicinvitationturkey.com/handala-group-infiltrates-prominent-israeli-think-tank-renowned-for-anti-iran-rhetoric/
1292362704,20260304,202603,2026,2026.1753,PSE,OCCUPIED TERRITORIES,PSE,,,,,,,,,,,,,,,,,,1,190,190,19,4,-10.0,6,1,6,-9.70149253731346,1,Israel,IS,IS,,31.5,34.75,IS,0,,,,,,,,1,Israel,IS,IS,,31.5,34.75,IS,20260304154500,https://www.islamicinvitationturkey.com/handala-group-infiltrates-prominent-israeli-think-tank-renowned-for-anti-iran-rhetoric/
1292362706,20260304,202603,2026,2026.1753,PSE,GAZA,PSE,,,,,,,,COPGOV,DEPUTY,,,,,,COP,GOV,,1,40,40,4,1,1.0,2,1,2,-2.50783699059561,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260304154500,https://www.aa.com.tr/en/asia-pacific/russia-launches-consultations-with-iraq-palestine-turkiye-amid-us-israel-iran-conflict/3850111
1292362707,20260304,202603,2026,2026.1753,PSE,OCCUPIED TERRITORIES,PSE,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,43,43,4,1,2.8,1,1,1,-2.93757649938801,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260304154500,https://www.presstv.ir/Detail/2026/02/27/764806/modi-israel-visit-shows-morality-no-longer-guides-india-foreign-policy-journalist
1292362721,20260304,202603,2026,2026.1753,QAT,DOHA,QAT,,,,,,,,,,,,,,,,,,0,36,36,3,1,4.0,6,1,6,-2.57648953301127,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,0,,,,,,,,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,20260304154500,https://www.upi.com/Top_News/World-News/2026/03/04/evacuate-americans-middle-east-war/9141772636040/
1292362727,20260304,202603,2026,2026.1753,QAT,DOHA,QAT,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,36,36,3,1,4.0,4,1,4,-2.57648953301127,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,20260304154500,https://www.upi.com/Top_News/World-News/2026/03/04/evacuate-americans-middle-east-war/9141772636040/
1292362729,20260304,202603,2026,2026.1753,QATMED,AL JAZEERA,QAT,,,,,MED,,,KWT,KUWAIT,KWT,,,,,,,,1,43,43,4,1,2.8,4,1,4,-2.91878172588832,1,Iran,IR,IR,,32.0,53.0,IR,4,"Ali Al Salem Air Base, Kuwait (general), Kuwait",KU,KU00,123556,29.35,47.5211,186617,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://www.leicestermercury.co.uk/news/local-news/leicestershire-family-stuck-kuwait-amid-10847276
1292362732,20260304,202603,2026,2026.1753,REF,REFUGEE,,,,,,REF,,,,,,,,,,,,,0,181,181,18,4,-9.0,2,1,2,-4.1522491349481,1,Kuwait,KU,KU,,29.5,47.75,KU,0,,,,,,,,1,Jordan,JO,JO,,31.0,36.0,JO,20260304154500,https://www.castanetkamloops.net/news/Canada/601802/Mother-urges-Canada-to-swiftly-repatriate-her-son-after-reported-transfer-to-Iraq
1292362739,20260304,202603,2026,2026.1753,REL,BISHOP,,,,,,,,,YEM,YEMEN,YEM,,,,,,,,0,20,20,2,1,3.0,10,1,10,-1.25,4,"Sanaa, Sana', Yemen",YM,YM16,32956,15.3547,44.2067,-3191442,4,"Sanaa, Sana', Yemen",YM,YM16,32956,15.3547,44.2067,-3191442,4,"Sanaa, Sana', Yemen",YM,YM16,32956,15.3547,44.2067,-3191442,20260304154500,"https://www.asianews.it/news-en/Martyred-nuns-of-Aden:-10-years-later,-still-seeds-of-peace-64964.html"
